log_timestamp_utc,event_type,frame_seq_recv,rssi_dbm,notes,packet_type_recv_hex,data_len_byte_value,payload_len_on_wire,ack_seq_sent,ack_type_sent_hex,is_decoded_ts_valid,calculated_latency_ms,decoded_ts,decoded_accel_ax,decoded_accel_ay,decoded_accel_az,decoded_gyro_gx,decoded_gyro_gy,decoded_gyro_gz,decoded_angle_roll,decoded_angle_pitch,decoded_angle_yaw,decoded_gps_lat,decoded_gps_lon,decoded_gps_altitude
2025-06-24T06:56:55.282+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:57:02.291+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:57:09.299+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:57:16.307+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:57:23.316+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:57:30.324+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:57:37.333+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:57:44.334+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:57:51.342+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:57:58.350+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:58:05.352+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:58:12.360+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:58:19.369+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:58:26.377+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:58:33.379+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:58:40.388+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:58:47.390+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:58:54.399+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:59:01.401+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:59:08.409+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:59:15.418+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:59:22.426+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:59:29.435+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:59:36.443+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T06:59:43.451+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T07:04:30.346+00:00Z,SERIAL_PORT_OPEN,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T07:04:37.347+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T07:04:37.879+00:00Z,HANDSHAKE_SYN_RECV,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T07:04:37.890+00:00Z,HANDSHAKE_ACK_SENT,,,,,,,0,0x00,,,,,,,,,,,,,,,
2025-06-24T07:04:37.891+00:00Z,HANDSHAKE_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24T07:04:43.503+00:00Z,CTRL_PKT_RECV,1,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-24T07:04:43.514+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,1,0x55,,,,,,,,,,,,,,,
2025-06-24T07:04:46.845+00:00Z,CTRL_PKT_RECV,2,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-24T07:04:46.858+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,2,0x55,,,,,,,,,,,,,,,
2025-06-24T07:04:58.872+00:00Z,CTRL_PKT_RECV,4,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-24T07:04:58.882+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,4,0x55,,,,,,,,,,,,,,,
2025-06-24T07:05:02.427+00:00Z,DATA_FRAME_RECV,4,-100,,,33,32,,,,,,,,,,,,,,,,,
2025-06-24T07:05:02.438+00:00Z,DATA_ACK_SENT,,,,,,,4,0xaa,,,,,,,,,,,,,,,
2025-06-24T07:05:02.441+00:00Z,DECODE_SUCCESS,4,-100,,,,,,,True,5439,1750748697.0,-0.157,-0.447,0.888,-1.6,2.1,-0.9,-26.8,9.0,-4.5,37.69744873046875,126.49708557128906,0.0
2025-06-24T07:05:05.768+00:00Z,CTRL_PKT_RECV,5,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-24T07:05:05.777+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,5,0x55,,,,,,,,,,,,,,,
2025-06-24T07:05:17.794+00:00Z,CTRL_PKT_RECV,7,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-24T07:05:17.806+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,7,0x55,,,,,,,,,,,,,,,
2025-06-24T07:05:21.349+00:00Z,DATA_FRAME_RECV,7,-100,,,33,32,,,,,,,,,,,,,,,,,
2025-06-24T07:05:21.362+00:00Z,DATA_ACK_SENT,,,,,,,7,0xaa,,,,,,,,,,,,,,,
2025-06-24T07:05:21.365+00:00Z,DECODE_SUCCESS,7,-100,,,,,,,True,5362,1750748716.0,-0.154,-0.446,0.901,-0.3,3.3,-0.4,-26.8,9.1,-4.6,33.02555847167969,127.10955047607422,48.0
2025-06-24T07:05:24.692+00:00Z,CTRL_PKT_RECV,8,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-24T07:05:24.702+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,8,0x55,,,,,,,,,,,,,,,
